card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
PhonePe SBI SELECT BLACK Credit Card,SBI Card,Best SBI,,"[""Best RuPay Credit Cards for UPI Payments"", ""Best SBI"", ""Best SBI Credit Cards"", ""Top 20 Best Credit Cards in India 2026""]",NIL (Limited Time Offer),"₹1,499 + GST",Annual Charges are Reversed on Spends of ₹3 Lakh,,Reward Points,1 Reward Point = ₹1 and Can be Redeemed as Statement Credit or as Gift Vouchers,,"The Yatra Voucher is valid for booking domestic and international flights, as well as domestic hotels and holidays, on the Yatra website.","{""domestic"": ""4 Free Domestic Lounge Visits Each Year"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or ₹500 (Whichever is Higher) | N/A","This is a co-branded offering launched by PhonePe and SBI Card. This card is most suited for those who use PhonePe for making various payments. The PhonePe SBI Select Black Credit Card offers 10% Reward Points for PhonePe spends, 5% Reward Points for online spends, and 1% Reward Points for all other spends, including UPI. Cardholders will also receive complimentary domestic airport lounge access with this card. Although no international airport lounge access is offered, cardholders are eligible for a complimentary Priority Pass membership.","[""The annual fee waiver is set at a spend of ₹3 lakh, which is quite reasonable considering all the benefits and features this card offers."", ""This card is extremely useful for everyday bills and insurance payments, which can be made via PhonePe. Such categories are not usually rewarded by credit cards.""]","[""Instead of the complimentary Priority Pass membership, it would have been more useful if the card offered access to international airport lounges."", ""There are no renewal fee benefits offered with this card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/phonepe-sbi-select-black-credit-card/
Reliance SBI Card PRIME,SBI Card,Best SBI,"Mastercard, RuPay","[""Best Credit Cards for Jewellery Spends"", ""Best SBI"", ""Best SBI Credit Cards""]","₹2,999 + GST","₹2,999 + GST",Waiver of Annual Charges on Spends of ₹3 Lakh,,Reward Points,Redeem Rewards for Reliance Vouchers (1 RP = ₹0.25),,"The Reliance SBI Prime Credit Card offers vouchers worth ₹8,750 on annual spends of ₹3,00,000, giving an effective return of around 2.91% (excluding base rewards). On top of this, the annual fee can be easily waived by reaching the required spending milestone. Get a ₹1,500 Reliance Retail voucher on annual spends of ₹75,000. Get a ₹2,250 Reliance Retail voucher on annual spends of ₹150,000. Get a ₹5,000 Reliance Retail voucher on annual spends of ₹300,000.","{""domestic"": ""8 Complimentary Visits Per Year (2 Each Quarter)"", ""international"": ""4 Complimentary Visits Per Year (2 Each Quarter)""}",,3.75% Per Month (45% Per Annum),3.5% of the Transaction Amount,"1% Fuel Surcharge Waiver on Transactions Between ₹500 and ₹4,000 | 2.5% or a Minimum of Rs. 500 | Rs. 99","Get Reliance Retail Vouchers worth Rs. 3,000 as a welcome benefit. Get 8 free domestic and 4 international lounge access with this credit card. You can easily link your Reliance SBI Prime Credit Card to your UPI application. Earn great rewards while shopping at Reliance stores.","[""You get free domestic and international lounge access with this card."", ""This card is best for shopping at Reliance stores.""]","[""Discounts are mainly centered around Reliance Brands.""]",,cardinsider.com,https://cardinsider.com/sbi-card/reliance-sbi-card-prime/
Reliance SBI Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",₹499 + GST,₹499 + GST,Waiver of Annual Charges on Spends of Rs. 1 Lakh,,Reward Points,1 RP = ₹0.25,,Get Reliance Retail Vouchers for participating stores on achieving the annual spends milestone.,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.5% of the Transaction Amount,"1% Waiver on Fuel Transactions Between Rs. 500 to Rs. 4,000 | 2.5% or a Minimum of Rs. 500 | Rs. 99",This card comes with a joining and annual fee of Rs. 499 + GST. You can welcome benefits in the form of Rs. 500 vouchers and other discount vouchers. You shall get 5 Reward Points for every Rs. 100 spent on purchases made at Reliance Stores and spends made on dining & movies. All other eligible transactions shall get 1 Reward Point for every spend of Rs. 100.,"[""With this card, you can earn 5 Reward Points for spends made on dining and movies."", ""This card has a low and reasonable joining fee of Rs. 499.""]","[""There are some entry-level cards similar to this one, which also offer lounge access, while this one doesn’t."", ""The Reliance SBI Card is mainly beneficial to customers who make regular purchases from Reliance stores.""]",,cardinsider.com,https://cardinsider.com/sbi-card/reliance-sbi-card/
SBI AURUM Credit Card,SBI Card,Best SBI,American Express,"[""Best Credit Cards With Free Spa Access"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards in India for Qatar Airways Privilege Club (Avios)"", ""Best SBI"", ""Best SBI Credit Cards"", ""Top Credit Cards With Trip Cancellation in India""]","Rs. 9,999 + GST","Rs. 9,999 + GST","Annual membership fee waived off on annual spends of Rs. 12,00,000",,Reward Points,"Reward Points are redeemable for gift vouchers, hotel reservations, flight tickets etc., on dedicated AURUM Rewards portal",,,"{""domestic"": ""4 Free Visits Each Quarter (For Both Primary and Add-On Cardholders)"", ""international"": ""Unlimited International Airport Lounge Access""}","As the Aurum Credit Card is an invite-only card, there are no pre-defined eligibility criteria that need to be fulfilled in order to get this card. Still, you must fulfill the following requirements: Age – Minimum age of 21 for salaried and 25 for self-employed individuals. Annual income should be 40 lakhs or above. You should have an excellent credit score and a strong relationship with the card issuer.",3.75% Per Month (45% Per Annum),1.99% of the transaction amount,"1% fuel surcharge waived off at all fuel stations across India. | 2.50% of the withdrawn amount, subject to a minimum charge of Rs. 500 | N/A","40,000 Reward Points as a Welcome Benefit (4 Reward Points = Re. 1). The card renewal fee is waived on annual spends of Rs. 12,00,000. You earn 4 Reward Points per Rs. 100 was spent with the SBI AURUM Credit Card (Reward rate = 1%). Tata CLiQ Luxury Vouchers worth Rs. 5,000 on reaching the milestone spend of Rs. 5 lakh. Rs. 10,000 Taj Voucher on annual expenditure of Rs. 10 lakh. Unlimited international airport lounge access and 4 domestic airport lounge access per quarter. 4 BookMyShow movie tickets every month (max value of each ticket capped at Rs. 250). 24×7 dedicated concierge service and secretarial access.","[""You get 40,000 Reward Points as a welcome benefit with the SBI Aurum Credit Card."", ""With this card, you also get Tata CLiQ Luxury vouchers worth Rs. 5,000 on achieving the milestone benefit.""]","[""This card offers a basic reward rate."", ""Earlier subscriptions like Amazon Prime, Zomato Gold, and Discovery Plus were offered along with the card, which has since been discontinued.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-aurum-credit-card/
SBI Miles Elite Credit Card,SBI Card,Best SBI,,"[""20+ Best Travel Credit Cards"", ""Best Credit Cards for Air India Maharaja Club"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards in India to Earn Etihad Guest Miles"", ""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best Credit Cards to Earn Turkish Miles & Smiles"", ""Best SBI"", ""Best SBI Credit Cards""]","Rs. 4,999 + GST","Rs. 4,999 + GST",Annual Fee is Reversed on Spending ₹15 Lakh in a Year,,Reward Points,"Travel Credits Can be Converted into Air Miles/Hotel Points, Travel Bookings or Redeemed for Catalogue Products",,"Yes, you can get 20,000 Travel Credits by spending Rs. 12 lakh in a card anniversary year. You shall also get one free domestic lounge visit on each spend of Rs. 1 lakh (up to 15).","{""domestic"": ""8 Visits Each Year (Maximum 2 Per Quarter)"", ""international"": ""6 Free Visits Each Year (Maximum 2 Per Quarter)""}",,3.50% Per Month (42% Per Annum),1.99%,1% Waiver (Maximum of ₹500 Per Month) | 2.5% or ₹500 (Whichever is Higher) | ₹99,"Earn 6 Travel Credits for every ₹200 spent on travel. Earn 2 Travel Credits for every ₹200 spent on other eligible purchases. 5,000 Travel Credits as a joining benefit on spending Rs. 1 lakh within the first 60 days of card issuance. Free Priority Pass membership is offered. The SBI Card Miles Elite comes with travel insurance.","[""For Travel Credit redemption there are many popular airlines and hotel partners. This card also offers a good conversion ratio.""]","[""Although this card offers many benefits for travelers, the reward-earning rate is quite inadequate. With this card, you can earn only 6 Travel Credits on each spend of ₹200."", ""Many other cards offer more accelerated rewards."", ""There are no additional benefits for movies or dining.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-card-miles-elite/
SBI MILES PRIME Credit Card,SBI Card,Best SBI,,"[""20+ Best Travel Credit Cards"", ""Best Credit Cards for Air India Maharaja Club"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best SBI"", ""Best SBI Credit Cards""]","Rs. 2,999 + GST","Rs. 2,999 + GST",Annual fee is reversed on spending ₹10 Lakhs.,,Reward Points,"Convert Travel Credits into air miles, hotel points, travel bookings, etc.","Cardholders who spend ₹60,000 within 60 days of receiving their card will receive a welcome gift of 3,000 Travel Credits.","SBI Card MILES PRIME offers 10,000 bonus Travel Credits to its customers on spending ₹8 Lakh per year. Cardholders can enjoy an annual fee reversal on spends of ₹10 Lakh in a membership year. On spending ₹1 lakh, the primary cardholder with a guest receives an additional complimentary domestic airport lounge visit capped at 12 visits annually.","{""domestic"": ""8 complimentary domestic airport lounge access per year."", ""international"": ""4 complimentary international airport lounge access per year.""}",,3.75% Per Month (45% Per Annum),2.5% of the amount transacted.,1% Fuel surcharge waiver on fuel transactions between ₹500 to ₹4000. | 2.5% or ₹500 | ₹99,"3,000 Travel Credits will be credited to the cardholder’s account as a welcome gift. People will get 1 additional domestic airport lounge visit on spending more than ₹1 lakh through MILES Credit Card. Earn 5,000 Bonus Travel Credits on annual spends of ₹5 Lakh.","[""Eight domestic airport lounge access per year and two international airport lounge access per quarter to SBI MILES PRIME Credit Cardholders."", ""2.5% foreign currency mark-up charge on international usage."", ""Enjoy 1000+ airport lounge access worldwide with the complimentary Priority Pass membership.""]","[""Absence of cashback or discount on movies or dining."", ""Limited rewards on non-flying expenses.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-card-miles-prime/
SBI MILES Credit Card,SBI Card,Best SBI,,"[""Best Credit Cards to Earn Emirates Skywards Miles in India"", ""Best SBI"", ""Best SBI Credit Cards""]","Rs. 1,499 + GST","Rs. 1,499 + GST",Annual Fee is Reversed on Spending ₹6 Lakhs.,,Reward Points,"Convert Travel Credits into air miles, hotel points, travel bookings, etc.","The cardholder will receive a welcome gift of 1,500 Travel Credits upon spending ₹30,000 within 60 days of card issuance.","If you spend ₹5 lahks annually on your SBI MILES Credit Card, you will receive 5,000 bonus travel credits. Cardholders can get their annual fee waived on spending ₹6 Lakh or more in a membership year. For every spend of ₹1 Lakh, cardholders receive one extra domestic airport lounge visit beyond their complimentary visits capped at 8 visits per year.","{""domestic"": ""4 complimentary domestic airport lounge access per year."", ""international"": ""N/A""}",,3.75% Per Month (45% Per Annum),3% of the amount transacted.,1% Fuel Surcharge Waiver on fuel transactions between ₹500 to ₹4000. | 2.5% or ₹500 | ₹99,"SBI MILES Credit Cardholders will enjoy access to 1000+ airport lounges worldwide with the complimentary Priority Pass Membership worth $99. For every ₹1 Lakh spent, you will receive one extra visit to domestic airport lounges. Earn 5,000 bonus travel credits by making annual spends of ₹5 lakh. 1,500 Travel Credits will be credited to the cardholder’s account as a welcome gift.","[""2 complimentary domestic airport lounge access per quarter all over India."", ""3% foreign currency mark-up charge on international transactions."", ""Spend-based reversal on annual spends of ₹6 lakhs.""]","[""This card does not provide any offers on movies or dining."", ""Insurance benefits are also not provided by this card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-card-miles/
SBI Card PULSE,SBI Card,Best SBI,,"[""Best Credit Cards for Free Domestic Airport Lounge Access"", ""Best Health and Wellness Credit Cards"", ""Best SBI"", ""Best SBI Credit Cards"", ""Top 20 Best Credit Cards in India 2026""]","₹1,499 + GST","₹1,499 + GST",The renewal fee can be waived if you spend Rs. 2 lakhs or more in the previous year.,,Reward Points,The Reward points are redeemable against a host of options on the Rewards catalogue or against the statement balance (1 RP = Re. 0.25).,,"You get a Netmeds e-gift voucher of ₹1,500 if you spend above ₹4 lakhs in an anniversary year. The gift voucher is sent to the eligible cardholders within 45 days through SMS or email. You get a renewal fee waiver on spending ₹2 Lakhs or more in the card anniversary year.","{""domestic"": ""2 Free Domestic Lounge Visits Per Quarter"", ""international"": ""N/A""}",The following are the eligibility criteria that need to be fulfilled by the applicant to get the Pulse Credit Card:,3.75% Per Month (45% Per Annum),3.5% of the transaction amount,"1% fuel surcharge waiver for all fuel transactions between Rs. 500 and Rs. 4,000. | 2.5% of the cash amount subject to a minimum of Rs. 500 | Rs. 100 on each redemption request","Complimentary Noise ColorFit Pulse 4 Pro Smart Watch worth ₹7,999 as a welcome gift. Complimentary FitPass Pro membership. Complimentary Netmeds First membership. 10 Reward Points on every health-related spend of ₹100 & on movies & dining. 2 Reward Points per ₹100 spent. Complimentary Priority Pass membership for the first two years. 8 Complimentary airport lounge visits at select airports in India, max 2 per quarter. Get e-gift vouchers worth ₹1,500 annually on reaching the milestone spend. Spend-based annual membership fee waiver.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/sbi-card-pulse-credit-card/
SBI ELITE Credit Card,SBI Card,Best SBI,"Visa, Mastercard, RuPay, American Express","[""Best Credit Cards for International Travel 2026"", ""Best SBI"", ""Best SBI Credit Cards""]","₹4,999 + GST","₹4,999 + GST",Renewal Fee Waived on Spends of ₹10 Lakh or More,,Reward Points,"Redeem Reward Points Against Gift Vouchers, Cash Credit and More. 1 Reward Point = ₹0.25",,"Up to 15,000 Bonus Reward Points on achieving the stipulated spend milestones (details as below) The annual fee is waived on spends of Rs. 10 lakh.","{""domestic"": ""2 complimentary visits to domestic airport lounges every quarter"", ""international"": ""6 complimentary visits to international airport lounges per year (max 2 per quarter) with the Priority Pass program.""}",,3.75% Per Month (45% Per Annum),1.99% of the transaction amount,"1% fuel surcharge waiver on transactions between  Rs. 500 and Rs. 4,000 at all fuel stations across India (max waiver capped at Rs. 250 per month) | 2.5% (Minimum Charge – ₹500) | ₹99 + GST","Gift Voucher worth Rs. 5,000 as a welcome benefit. 2 RPs on every Rs. 100 spent with the card except on fuel spends. 5X RPs on spends on dining, grocery purchases, and departmental stores. Up to 50,000 Bonus Reward Points (equivalent to Rs 12,500) every year on achieving the stipulated spend milestone (details below). Free movie tickets (max benefit capped at Rs. 6,000 in a year). 2 free domestic lounge visits per quarter. 6 complimentary international lounge visits in a year (max 2 visits per quarter). Complimentary lost card liability cover worth Rs. 1 lakh applicable from 48 hours prior to 7 days after reporting the loss of card. A lower forex markup fee of 1.99% of the withdrawn amount. Exclusive concierge service for assistance regarding online doctor consultation, flower delivery, and gift delivery. Exclusive privileges from Visa/MasterCard/American Express (details below).","[""With this card, you can enjoy welcome benefits worth Rs. 5000."", ""You get 2 domestic lounge visits per quarter and 6 complimentary international lounge access in a year with the SBI Elite Credit Card.""]","[""This card offers a lower reward rate compared to other cards available.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-elite-credit-card/
SBI Prime Credit Card,SBI Card,Best SBI,"Visa, Mastercard, RuPay, American Express","[""10+ Best Rewards Credit Cards in India 2026"", ""Best SBI"", ""Best SBI Credit Cards""]","₹2,999 + GST","₹2,999 + GST",Renewal fee is waived off if a minimum of Rs. 3 lakhs were spent in the previous year,,Reward Points,"Redeem RPs for Gift Vouchers, Statement Credit and More. 1 Reward Point = ₹0.25",,"Pizza Hut e-voucher worth ₹1,000 on a quarterly expenditure of ₹50,000. E-voucher worth ₹7,000 from Yatra or Pantaloons on an annual expenditure of ₹5 lakh. The membership renewal fee is waived on an annual expenditure of ₹3 lakhs.","{""domestic"": ""8 complimentary domestic airport lounge visits per annum (max visits 2 per quarter)"", ""international"": ""4 complimentary international airport lounge access every year with Priority Pass Membership (2 per quarter)""}",,3.75% Per Month (45% Per Annum),3.5% + GST,"1% fuel surcharge waiver applicable on every fuel transaction between Rs. 500 to Rs. 4,000 (maximum waiver of Rs. 250 in a month). | 2.5% of the amount withdrawn or Rs. 500 (whichever is higher) | ₹99 + GST","Gift voucher (worth ₹3,000) as a welcome benefit upon card issuance. You will earn 10 Reward Points for every ₹100 spent on dining, movies, groceries, and departmental store purchases. For other retail spends, get 2 RPs on every transaction of ₹100. A gift voucher worth ₹7,000 on annual spends of ₹5 lakhs or more. A Pizza Hut e-voucher worth ₹1,000 on spending ₹50,000 in a calendar quarter. 4 complimentary international airport lounge access every year (max 2 per quarter). 8 complimentary domestic airport lounge access every year (max 2 in a quarter). Enjoy exclusive benefits at several luxurious hotels. (only for the Visa variant). 20 Reward points for every spend of ₹100 on birthday (max cap of 2,000 Reward Points on birthday spends).","[""This card provides eight complimentary visits to domestic lounges and 4 to international terminals."", ""With the card, you receive an attractive welcome benefit of gift vouchers worth ₹3,000 from popular brands, including Hush Puppies and Bata.""]","[""This card offers a basic reward rate for base categories.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-prime-credit-card/
SBI SimplyCLICK Credit Card,SBI Card,Best SBI,,"[""Best Credit Cards for Beginners"", ""Best SBI"", ""Best SBI Credit Cards""]",₹499 + GST,₹499 + GST,Annual Charges Waived on Spends of ₹1 Lakh,,Reward Points,"Redeem RPs for Vouchers, Statement Credit and More. 1 RP = ₹0.25",,"You get an e-voucher valued at ₹2,000 from ClearTrip/Yatra on achieving annual online spends of ₹1 lakh with the card. Another e-voucher valued at ₹2,000 from ClearTrip/Yatra on achieving annual online spends of ₹2 lakh with the card. The renewal membership fee is waived if the cardholder has achieved annual spends of ₹1 lakh in the previous year.","{""domestic"": ""N/A"", ""international"": ""N/A""}","Every credit card has its own eligibility criteria that need to be fulfilled by an applicant in order to get approved for that card. The significant factors that affect your eligibility for a credit card include your age, income, and credit score. The following are the eligibility criteria for the SimplyCLICK SBI Credit Card:",3.75% Per Month (45% Yearly),3.50%,"1% fuel surcharge waived on fuel transactions from Rs. 500 to Rs. 3,000 (max waiver capped at Rs. 100 per month) | 2.5% of the withdrawal amount or a minimum fee of Rs. 500 | ₹99 + GST","Gift vouchers worth ₹500 from Amazon as a welcome benefit. E-vouchers from ClearTrip/Yatra worth ₹2,000 on annual online spending of ₹1,00,000 and ₹2,00,000 each. 10X Reward Points on online spending at partner merchants, including popular websites like Apollo 24×7, BookMyShow, Cleartrip, Dominos, IGP, Myntra, Netmeds, and Yatra. 5X Reward Points on all other online spends using your SBI SimplyClick Credit Card. 1 Reward Point per ₹100 on all offline spends except fuel. Annual fee waiver of ₹499 on yearly spending of ₹1,00,000. 1% fuel surcharge waived for all purchases of fuel between ₹500 and ₹3,000.","[""One of the most significant benefits of the SBI SimplyClick Credit Card is the welcome voucher worth ₹500 from Amazon."", ""You can also get vouchers worth ₹4,000 on achieving milestone spends.""]","[""This card has a significant drawback for frequent travellers as it offers no domestic or international lounge access."", ""Along with no travel benefits, there aren’t any insurance benefits with the SBI SimplyClick Credit Card.""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-simplyclick-credit-card/
SBI SimplySAVE UPI Rupay Credit Card,SBI Card,Best SBI,RuPay,"[""Best SBI"", ""Best SBI Credit Cards"", ""Best Student Credit Cards India 2026""]",Rs. 499 + GST,Rs. 499 + GST,Renewal fee can be waived by spending Rs. 1 lakh in a card anniversary year,,Reward Points,"Redeem Points for Vouchers, Against Statement or for Products (1 Reward Point = ₹0.25)",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","The process of getting a credit card is not as easy as it seems to some individuals. Every bank/card issuer has some eligibility criteria for every credit card that needs to be fulfilled to get approved for a particular card. The factors that influence your eligibility are age, your income, and your credit history. So, make sure to check for the eligibility criteria of a credit card before you apply for it. The following is the criteria for the Simply SAVE SBI Card:",3.75% Per Month (45% Annually),3.50%,"1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 3,000 (capped at Rs. 100 per month) | 2.5% or ₹500 (Whichever is Higher) | ₹99 + GST","On spending Rs. 2,000 within the 60 days of card activation get 2,000 bonus RPs that are worth Rs. 500. 1 Reward Point for every spend of Rs. 150. 10X Reward Points (10 Points per Rs. 150) on spends on movies, dining, grocery categories, and departmental stores. Annual renewal fee reversed on expenditure of minimum Rs. 1 lakh in the preceding year. 1% fuel surcharge waiver.","[""This card comes at a low joining fee of 499."", ""You can earn great reward points on spends with this card.""]","[""This card doesn’t provide international or domestic lounge access."", ""There aren’t any insurance benefits with this card."", ""Reward redemptions will be chargeable at Rs. 99""]",,cardinsider.com,https://cardinsider.com/sbi-card/sbi-simplysave-credit-card/
SBI Unnati Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Nil,Nil,N/A,,Reward Points,1 RP = Rs 0.25 on redemption against a host of gifts and benefits at the SBI Card rewards catalog.,,"Get Rs. 500 cashback on spending Rs. 50,000 or more in a year. The cashback is provided within 15 days of reaching the milestone.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.5% per month ( 42% per annum),3.5% on the conversion amount,1% surcharge waiver on all fuel purchases using the SBI Unnati credit card | 2.5% on the amount withdrawn subject to a minimum charge of Rs. 500 | Rs 99 per redemption request,"No Annual Charges (For first four years) 1 Reward Point per Rs 100 you spend Rs 500 cashback on annual spending of Rs 50,000 within 15 days 1% surcharge waiver applicable on fuel transactions above Rs. 500 (below Rs. 4,000).",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/sbi-unnati-credit-card/
SBI Shaurya Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Rs. 250 + GST,Rs. 250 + GST,"The renewal fee is waived off if you spend Rs. 50,000 or more in the previous year.",,,The reward points you earn can be redeemed against various options from the Rewards catalogue or against the card’s outstanding balance at a rate of 1 RP = Re. 0.25.,,,"{""domestic"": ""NA"", ""international"": ""NA""}","The eligibility requirements that you need to fulfill in order to get this credit card are as mentioned below: The applicant should be an Indian Defense Personnel. The applicant’s age should be a minimum of 18 years. The applicant should either be self-employed or salaried, i.e, they should have a stable source of income. The applicant should possess a decent credit history.",2.75% p.m. (33% annually),3.5% on all foreign currency spends.,"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 3,000. | 2.5% of the withdrawn amount or Rs. 500 (whichever is higher) | Rs. 99 on each redemption request.","1,000 Reward Points as a welcome gift. Up to 5 Reward Points on every spend of Rs. 100. Reward Points redeemable against the card’s outstanding balance. Spend-based waiver of the renewal fee. 1% fuel surcharge waiver. Complimentary insurance cover against personal accident.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/shaurya-sbi-credit-card/
SBI Shaurya Select Credit Card,SBI Card,Best SBI,,"[""Best SBI"", ""Best SBI Credit Cards""]",Nil,"₹1,499 + GST","The renewal fee is waived off on spending Rs. 1,50,000 or more in the previous year.",,Reward Points,The Reward Points can be redeemed against the card’s outstanding balance and various other options. 1 Reward Point = Re. 0.25.,,"You get a Pizza Hut e-voucher worth ₹500 on spending ₹50,000 or more in a quarter. You get a Yatra/Pantaloons e-voucher worth ₹7,000 on spending ₹5 lakhs or more in an anniversary year.","{""domestic"": ""4 Visits Each Year (One Per Quarter)"", ""international"": ""N/A""}",,2.75% p.m. (33% annually),3.5% on all foreign currency spends.,"1% fuel surcharge waiver on all fuel transactions between Rs. 500 and Rs. 4,000. | 2.5% of the withdrawn amount or a minimum of Rs. 500. | Rs. 99 on every redemption request","Exclusive for defense personnel. Get 10 Reward Points on every spend (Dining, Movies, Departmental Stores & Grocery spends) of Rs. 100. Get 2 Reward Points per Rs. 100 spent on all other spends. 1,500 bonus Reward Points on card renewal. Pizza hut e-voucher on achieving quarterly milestone spend. Yatra/Pantaloons e-voucher on achieving annual milestone spend. Complimentary insurance cover against personal accident. 1% fuel surcharge waiver on all fuel transactions. Spend-based waiver of the renewal fee.",[],[],,cardinsider.com,https://cardinsider.com/sbi-card/shaurya-select-sbi-credit-card/
Tata Neu Infinity SBI Credit Card,SBI Card,Best SBI,RuPay,"[""Best Credit Cards for Utility Bill Payments"", ""Best SBI"", ""Best SBI Credit Cards""]","₹1,499 + GST (~₹1,769)","₹1,499 + GST (~₹1,769)",Annual Fee Reversed on Spends of ₹3 Lakh,,NeuCoins,NeuCoins are Transferred to the Primary Cardholder’s NeuPass Account. 1 NeuCoin = ₹1,,,"{""domestic"": ""2 Free Visits Each Quarter on Spends of ₹75,000 or More in the Previous Quarter"", ""international"": ""4 Free Visits to International Airport Lounges Each Year (Maximum of One Each Quarter)""}",,3.75% Per Month (45% Annually),1.99% + GST,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 Interest Rates | 2.5% or a Minimum of ₹500 (Whichever is Higher) | N/A","This is a co-branded card launched by SBI Card in association with Tata Neu. The Tata Neu SBI Card offers spend-based access to domestic airport lounges. Cardholders can access airport lounges outside India at no additional cost, without meeting any spending criteria. This card offers a low Forex charge of 1.99%.","[""This co-branded credit card offers up to 10% NeuCoins on select categories, making it extremely beneficial for those who often spend on Tata brands.""]","[""The Tata Neu Infinity SBI Card offers spend-based access to airport lounges. One would need to spend ₹75,000 each quarter to be eligible for free domestic lounge access, making it less attractive for many, as the HDFC Tata Neu Infinity has no such conditions.""]",,cardinsider.com,https://cardinsider.com/sbi-card/tata-neu-infinity-sbi-credit-card/
Tata Neu Plus SBI Credit Card,SBI Card,Best SBI,"Visa, RuPay","[""Best SBI"", ""Best SBI Credit Cards""]",₹499 + GST,₹499 + GST,Annual Fee Reversed on Spends of ₹1 Lakh,,NeuCoins,NeuCoins are Transferred to the Primary Cardholder’s NeuPass Account. 1 NeuCoin = ₹1,,,"{""domestic"": ""1 Free Visit Each Quarter on Spends of ₹50,000 or More in the Previous Quarter"", ""international"": ""N/A""}",,3.75% Per Month (45% Annually),3.50%,"1% Waiver on Fuel Transactions Between ₹500 and ₹4,000 | 2.5% or a Minimum of ₹500 (Whichever is Higher) | N/A",The Tata Neu Plus SBI Credit Card is most suited for spending on Tata brands. Tata Neu SBI Card is available on both Visa and RuPay. Applicants can choose the variant they wish to apply for. Earn 2% on Tata spends and an additional 5% on select categories via Tata Neu. This co-branded offering even offers spend-based airport lounge access.,"[""This is an ideal card for beginners and Tata loyalists as it comes at a reasonable joining fee and offers great rewards on everyday purchases via Tata Neu.""]","[""With the Tata Neu Plus SBI Credit Card, users will only be able to access domestic airport lounges on spends of ₹50,000 in the previous quarter.""]",,cardinsider.com,https://cardinsider.com/sbi-card/tata-neu-plus-sbi-credit-card/
