card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
CUB SalarySe Level Up Credit Card,City Union Bank,Best Fintech  in India,,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",₹500 + GST,₹500 + GST,"Renewal Fee Waived on Annual spending of ₹2,00,000 or More",,Reward Points,5 SCoins = ₹1,,,"{""domestic"": ""1 Lounge Access per Month on Spending ₹10,000 in the Previous Billing Cycle"", ""international"": ""N/A""}",,3.5% Per Month or 42% Per Annum,1%,"1% Fuel Surcharge Waiver, Valid On Fuel Spends Of ₹400 – ₹3,000 At All Fuel Stations Across India | Up to 3% of Cash Withdrawal Amount or ₹250, Whichever is Higher | N/A","CUB SalarySe Level Up Credit Card is made to offer rewards according to the cardholder’s spending pattern. The card offers 25 Reward Points for every ₹100 spent on transactions made via SalarySe UPI. The card offers 1 Reward Point for every ₹100 spent on transactions made on other UPI Apps. Cardholders can earn 5 Reward Points per ₹100 when their monthly spend is below ₹20,000. Earn 10 RP per ₹100 when your current bill exceeds ₹20,000.","[""This card has a low Forex charge of 1%, which is significantly lower than the industry average of 3.5%.""]","[""Salary day bonus is only applicable on the first and last day of the month."", ""All Reward Points shall expire upon the completion of eighteen months from the date on which such points are earned, so the user has to use the Reward Points within eighteen months.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/cub-salaryse-level-up-credit-card/
Edge CSB Bank RuPay Credit Card,CSB Bank,Best Fintech  in India,RuPay,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",Nil,Nil,N/A,,Cashback,Cashback is Credited as Reward Points. 5 Jewels (RPs) = ₹1,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.5% Monthly and 42% Annually on Outstanding Amount,3.5% on Each International Transaction,"1% Waiver on Transactions Above ₹400 Upto ₹3,000 | N/A | N/A","The Edge CSB Bank Credit Card can easily be linked to UPI and rewards payments made through it. This card is exclusively available on the Jupiter app. Cardholders can select one of three categories – dining, shopping, or travel – and earn accelerated 2% cashback on those purchases. All other spends shall be eligible for 0.4% cashback. Cashback is awarded as Reward Points, which can be redeemed for cash, vouchers, and even digital gold. A maximum of 15,000 Reward Points/₹3,000 cashback can be earned in a month.","[""Unlike most credit cards, which offer cashback only on specific categories, this card lets the user choose their preferred category. Whether you’re a shopper, foodie, or traveler, you can choose your preferred category to earn a flat 2% cashback on all purchases within that category.""]","[""The rate of rewards for spends other than accelerated ones could have been higher than 0.4%.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/edge-csb-bank-rupay-credit-card/
IndusInd Bank Tiger Credit Card,IndusInd Bank,Best Fintech  in India,,"[""Best Credit Cards for Beginners"", ""Best Credit Cards for Complimentary Roadside Assistance"", ""Best Fintech  in India"", ""Best Fintech Credit Cards in India"", ""Best Golf Credit Cards in India""]",Nil,Nil,N/A,,Reward Points,1 RP = ₹0.40 against Statement Credit,,,"{""domestic"": ""8 Complimentary Lounge Access per Year"", ""international"": ""2 Complimentary Lounge Access per Year Through the Priority Pass Program""}",One must fulfill the following conditions to be eligible for the IndusInd Bank Tiger Credit Card Must be a resident of India. Must be above the age of 18. Must have a decent credit score. Must have a stable source of monthly income.,3.5% Per Month (42% Per Annum),1.50%,"1% Fuel Surcharge Waiver Across All Fuel Stations in India. Applicable Fuel Transactions Between ₹400 to ₹4,000 Only | 2.5% | N/A",BOGO offers movie tickets via BookMyShow every 6 months. Lower foreign currency markup fee of 1.50%. 1 complimentary golf game every quarter. 1% Fuel Surcharge Waiver. Get a complimentary priority pass membership.,"[""This is a LTF credit card with no annual charges."", ""Access to domestic and international lounges.""]","[""This card does not provide any dining benefits.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/indusind-bank-tiger-credit-card/
OneCard Metal Credit Card,OneCard (Federal Bank/SBM),Best Fintech  in India,Visa,"[""5 Best Secured/FD-Based Credit Cards In India"", ""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",Lifetime Free,Lifetime Free,N/A,,Reward Points,Redeem RPs for Cashback. 1 Reward Point = ₹0.10,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","The eligibility criteria that need to be fulfilled in order to get a One Card Credit Card have not been defined clearly by the card issuer. However, the following are some basic eligibility requirements that you might need to fulfill: The applicant’s age should be at least 18 years. The applicant should have a stable source of income. To get a secured OneCard against a fixed deposit, no credit score will be required. However, if you want to get an unsecured card, you should have a decent credit score (preferably above 750).",3.75% Per Month or 45% Per Annum,1%,"1% Waiver on Fuel Transactions Up to ₹400 Each Month | 2.5% of the transaction amount, subject to a minimum amount of Rs. 300 | Nil","Metal credit card issued on the Visa Signature payment network. Lifetime free credit card- no joining/annual fee applicable. 1 Reward Point per ₹50 spent and 5x Reward Points on the top two spend categories. Reward Points are redeemable for cashback, 1 Reward Point = ₹0.10. Lower forex mark-up fee of just 1% of the transaction amount and a lower interest rate of 3.75% per month.",[],[],,cardinsider.com,https://cardinsider.com/fintech-cards/onecard-credit-card/
Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card,IndusInd Bank,Best Fintech  in India,RuPay,"[""Best Fintech  in India""]",Nil,Nil,Not Applicable,,Reward Points,Redeem RP for Cash Credit where 1 RP = ₹0.40,,"The Poonawalla RuPay Credit Card provides a milestone benefit that offers significant value. Upon reaching a spending value of ₹4,00,000 within a year of card activation, cardholders will receive 3,000 bonus reward points. These reward points are credited to the cardholder’s account within 45 days after the completion of the first year. It is important to note that the milestone benefit target excludes specific categories such as utilities, government payments, education fees, and insurance premium payments. However, this card includes rent expenditures in the qualifying criteria to attain the spending target.","{""domestic"": ""N/A"", ""international"": ""N/A""}","To own the Poonawalla Fincorp IndusInd Bank eLITE RuPay Credit Card one should be between the ages of 21 and 65 years and have a minimum salary of ₹20,000. The potential cardholder should be a resident of India and have a decent credit score.",3.83% per month (46% Annually),3.50%,"1% Fuel Surcharge Waiver for Transactions Between ₹400 and ₹4,000 at all Petrol Stations. | Nil | N/A",Milestone Benefits worth 3000 reward points on spending ₹4 lakhs. BOGO offer on movie tickets capped at ₹200 per month. 1% fuel surcharge waiver on transactions at every petrol pump in India. ‘Total Protect’ has been introduced for insurance coverage.,"[""Lifetime-free credit card with no annual charges."", ""This card can be linked with UPI apps for hassle-free transactions.""]","[""No dining offers with this card."", ""This card does not offer a very good reward rate.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/poonawalla-fincorp-induslnd-bank-elite-rupay-credit-card/
SBM ZET Credit Card,SBM Bank,Best Fintech  in India,RuPay,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",Lifetime Free,Lifetime Free,N/A,,Zet Coins,Cash/Vouchers. 1 ZET Coin = ₹0.20 (for Cash Conversion). 1 ZET Coin = ₹0.25 (for Vouchers),,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.5% Per Month or 42% Per Annum,2.49%,N/A | 3.5% of the Amount Withdrawn or ₹300 (Whichever is Higher) | N/A,"The SBM ZET Credit Card is the quickest way to achieve a credit score of 750 or higher. This credit card is backed by a Fixed Deposit (FD) – Simply book a Fixed Deposit with SBM Bank to receive a secured credit card. Your deposit is completely safe and insured by the Reserve Bank of India. No income proof is required. Anyone can apply without uploading salary slips or having an existing credit history. The UPI-enabled RuPay Credit Card allows you to use your credit card across any UPI app. In addition to the rewards, customers will get up to 20% Instant off on Swiggy, Zomato, Instamart, BookMyShow, and Abhibus on making their payment using the SBM ZET Credit Card.",[],[],,cardinsider.com,https://cardinsider.com/fintech-cards/sbm-bank-zet-credit-card/
Scapia Credit Card,Scapia (Federal Bank),Best Fintech  in India,RuPay,"[""20+ Best Travel Credit Cards"", ""Best Credit Cards Offering Meet & Greet Airport Services"", ""Best Credit Cards for Beginners"", ""Best Credit Cards for Free Domestic Airport Lounge Access"", ""Best Credit Cards for International Travel 2026"", ""Best Federal Bank Credit Cards"", ""Best Fintech  in India"", ""Best Fintech Credit Cards in India"", ""Best Lifetime Free Credit Cards India 2026"", ""Top 20 Best Credit Cards in India 2026""]",Lifetime Free,Lifetime Free,N/A,,Reward Points,Redeem Coins on Scapia. 1 Scapia Coin = ₹0.20,,,"{""domestic"": ""Unlimited Airport Lounge Access on Making Monthly Spends of ₹20,000"", ""international"": ""N/A""}",,3.75% Per Month,Nil,"1% Fuel Surcharge Waiver on Transactions Upto ₹5,000 | 2.5% of the Total Amount Withdrawn or a Minimum of Rs. 500 | N/A","Earn 20% Scapia Coins while making bookings on Scapia. Earn 10% Scapia Coins on all offline and online transactions (with few exceptions like fuel, wallet reloads, etc).","[""This card is most suited for frequent travellers."", ""The Federal/BOBCARD Scapia Credit Card is also available on the RuPay network, making it perfect for spending via UPI.""]","[""Scapia Coins can only be redeemed while making bookings with Scapia."", ""Unlimited airport lounge access with this card is based on a minimum spending requirement each statement cycle.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/scapia-credit-card/
slice UPI Credit Card,Slice (SBM Bank),Best Fintech  in India,,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",N/A,N/A,N/A,,Cashback,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.50%,Zero,"N/A | 2.5% of the Transaction Amount or ₹25, Whichever is Higher | N/A",The credit card has no joining or annual fee. Earn up to up to 3% cashback on every transaction with the card. The credit card offers zero foreign exchange charges while you spend internationally. Split purchases into 3 interest-free monthly installments (slice-in-3). Access to weekly brand deals and offers through the slice Spark.,"[""Users can enjoy a lifetime free credit card that offers up to 3% cashback on every purchase."", ""Make purchases abroad without paying extra conversion fees, saving money on international transactions.""]","[""The credit card is not best suited for high-end customers, as the card does not offer any extra benefits like travel insurance or lounge access.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/slice-credit-card/
Unity Bank BharatPe RuPay Credit Card,Unity Small Finance Bank,Best Fintech  in India,RuPay,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",LIFETIME FREE,LIFETIME FREE,N/A,,Reward Points,Zillion Coins can be Redeemed on Zillion app or for the Card’s Bill Payment,,,"{""domestic"": ""2 Free Visits per Quarter; 8 Visits Annually"", ""international"": ""2 Free Visits Annually""}",,2% per Month; 24% Annually,3.50%,1% | N/A | N/A,The card converts your unpaid balance to EMI automatically The interest rate charged on EMI conversion is as low as 2% monthly and follows the reducing balance method.,"[""No joining or renewal fee"", ""The auto-EMI feature makes repayment manageable"", ""Up to 2% cashback in Zillion Coins"", ""Complimentary domestic and international lounge access""]","[""No movie, dining, or travel-specific offers"", ""3.5% foreign currency markup"", ""EMI-based rewards mean you earn only when balances are not paid in full"", ""No insurance cover included""]",,cardinsider.com,https://cardinsider.com/fintech-cards/unity-bank-bharatpe-rupay-credit-card/
YES Bank Anq Phi Credit Card,Yes Bank,Best Fintech  in India,,"[""Best Fintech  in India""]",Nil,₹499 + GST,Renewal fee waiver on spending ₹1.2 lakhs in the previous year,,Reward Points,Earned RP can be redeemed for merchandise vouchers and gift cards,,,"{""domestic"": ""N/A"", ""international"": ""3 complimentary airport lounge visits annually""}","Age Requirement: Applicants must be between 21 and 60 years old. Employment Status: Both salaried and self-employed individuals can apply. Income Criteria: A minimum net salary of ₹25,000 per month is required, or an income tax return showing an income of ₹7.5 lakhs and above. Existing Customers: Current YES Bank credit cardholders are not eligible for this card. Documentation: Necessary documents proving age, income, and employment status will be needed during the application process.",3.99% (monthly); 47.88% (annually),3.40%,"1% waiver at petrol pumps across India for transactions between ₹400 to ₹5,000 | 2.5% of the amount withdrawn or ₹500 | ₹100 + GST",This card comes with no joining fee. International airport lounge visits are offered thrice every year. A 1% fuel surcharge waiver on fuel transactions is offered with this card.,"[""The renewal fee is waived if the cardholder spends more than ₹1.2 lakhs in the previous year.""]","[""The Forex Markup fee is quite high for this card."", ""Benefits such as dining perks, entertainment, etc., are not included in this card.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/yes-bank-anq-phi-credit-card/
YES Bank POP CLUB Credit Card,Yes Bank,Best Fintech  in India,RuPay,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India"", ""Best RuPay Credit Cards for UPI Payments""]",LIFETIME FREE (Till 31st March 2027),LIFETIME FREE (Till 31st March 2027),N/A,,Reward Points,Redeem POPcoins for Vouchers or Directly at POPshop (1 POPcoin = Up to ₹1),,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","Age Requirement: You must be between 21 and 60 years old. Employment Status: Open to both salaried individuals and self-employed persons. Credit History: You must not hold an existing YES BANK Credit Card to qualify for this card. Income Criteria: Minimum net salary of ₹25,000 per month Annual Income Tax Return of ₹5 lakhs or more. Minimum net salary of ₹25,000 per month Annual Income Tax Return of ₹5 lakhs or more.",3.99% (Monthly) or 47.88% (Annually),3.40%,"1% Waiver, Capped at ₹300 Every Month | 2.5% of the Amount Withdrawn or ₹500 | N/A","Earn 1,500 POPcoins on crossing the spending threshold of ₹1.5 lakhs in the previous quarter. Welcome benefits include a complimentary 3-month Zomato Gold membership, free deliveries on Blinkit, a voucher on Cleartrip, and much more. UPI apps can be easily linked with this card, as this is a RuPay Credit Card.","[""The POP CLUB Credit Card has no joining or annual fees, making it an excellent choice for everyone."", ""The Yes Bank POP CLUB Credit Card is available on the RuPay network, which allows it to connect to UPI and make payments."", ""Cardholders shall be eligible to earn 5% instant POPcoins when making spends via POP UPI.""]","[""This card does not offer airport lounge access, which is a feature many people consider essential these days."", ""Current Yes Bank Credit Cardholders cannot apply for the Yes POP CLUB Credit Card.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/yes-bank-pop-club-credit-card/
Zagg Credit Card,Zagg (RBL Bank),Best Fintech  in India,,"[""Best Fintech  in India"", ""Best Fintech Credit Cards in India""]",N/A,N/A,N/A,,Reward Points,1 Zagg Coin = ₹0.25,,,"{""domestic"": ""2 Visits Per Calendar Quarter on a Spend of at least ₹50,000 in the Previous Quarter"", ""international"": ""N/A""}",,3.99% Per Month (47.88% Annually),3.50%,1% Fuel Surcharge Waiver on a Maximum Transaction Amount of ₹250. | 3.99% Monthly (47.88% Annually) | ₹100 + GST,The credit card does not have any joining or annual fees. Get 3% Zagg coins while making a UPI transaction through the Zagg app. 40% off on food ordered from Swiggy or Zomato. Enjoy buy one get one movie ticket offer on the District app and BookMyShow Waive 1% fuel surcharge on transactions up to ₹250.,"[""The Zagg Credit Card has no joining or annual fees and offers a discount on food delivery apps. The card also offers domestic lounge access.""]","[""There are no milestones or welcome benefits with the Zagg Credit Card. Therefore, even if you spend a significant amount, you will not receive any benefits.""]",,cardinsider.com,https://cardinsider.com/fintech-cards/zagg-credit-card/
Axis Bank Multi-Currency Forex Card,Axis Bank,Forex Cards,"Visa, Mastercard","[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹300 + GST,N/A,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",There are no strict eligibility criteria that need to be fulfilled by the cardholders in order to get approved for Axis bank’s Multicurrency Forex Card. You just need to submit a few documents while applying for this card. All the required documents are listed below: A copy of your passport. Application form for the Axis Multicurrency Forex Card. Visa of the applicant. Copy of ticket. Address proof (in case your present address is different from the address mentioned on your passport).,N/A,3.50% of the transaction amount on cross-currency usage,N/A | 0.5% of the transaction (subject to a maximum charge of USD 75) or USD 2.25 on ATM withdrawals | N/A,"Can be loaded in 16 widely used currencies including USD, Euro, Pound, Dirham. Cashback of up to Rs. 1,000 on Vodafone India’s international roaming packs. No forex mark-up charge applicable on transactions made in the currency loaded on the card. Lower currency conversion rates on Southeast Asian currencies. 24×7 emergency assistance by TripAssist in case of loss of card/money. Card issuance fee of Rs. 300 waived off for Priority and Burgundy account holders. Locked-in currency exchange margin. Flat Rs. 0.30 discount on exchange margin to Axis Bank account holders on reloading the card via internet/mobile banking. Card widely accepted at all retail outlets and online stores accepting Visa/MasterCard credit/debit cards.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/axis-bank-multi-currency-forex-card/
Axis Bank World Traveller Forex Card,Axis Bank,Forex Cards,Mastercard,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹500 + GST,N/A,N/A,,,"Miles redeemable against flight bookings, hotel reservations, car rentals, shopping or for donations",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","Unlike credit cards, there are not so strict eligibility criteria that you need to fulfill in order to get approved for Axis bank’s World Traveler Forex Card. You just need to submit a few documents while applying for this card, which are listed below A copy of your passport. Visa of the applicant. Address proof (in case your present address is different from the address mentioned on your passport). Application form for the Axis Multicurrency Forex Card. Copy of ticket.",N/A,3.50% of the transaction amount on cross-currency usage,N/A | 0.5% of the transaction amount (subject to a maximum charge of USD 75) or USD 2.25 on ATM withdrawals | N/A,"Can be loaded in 16 widely used currencies including Euro, USD, Pounds, Dirham and many more. Card accepted at over 30 million retail outlets and over 1,00,000 e-commerce sites in India and internationally. Complimentary membership of Miles & More frequent flyer program. 1,000 award miles as a welcome benefit on loading the card for the first time. 2,000 Bonus Miles on loading more than USD 4,000. 5 Miles for every USD 5 spent with the card. Cashback of up to Rs. 1,000 on VI international roaming packs every time the card is loaded/reloaded. 24×7 emergency assistance during international travel by TripAssist in case of loss of card/wallet/baggage.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/axis-bank-world-traveller-forex-card/
BookMyForex YES Bank Forex Card,Yes Bank,Forex Cards,,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Lifetime Free,Lifetime Free,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","There are no such strict eligibility criteria that need to be fulfilled by the applicants in order to apply for the BMF YES Bank Forex Card. Any Indian citizen travelling abroad can apply for it. The only requirement is that the applicant should comply with the LRS limit of 250,000 USD in a financial year.",Nil,Exact interbank rate with no added margin*,Nil | 2% of the transaction amount | Nil,"Lifetime free Forex card. Exciting discounts and deals across different categories, including dining, health, and lifestyle. No loading, reloading and unloading charges. Paperless 24*7 services through the BookMyForex app. Lost card liability cover worth Rs. 1.5 lakhs. Zero forex markup fee.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/bookmyforex-yes-bank-prepaid-card/
Goibibo ICICI Bank Forex Prepaid Card,ICICI Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Rs. 499 (plus applicable taxes),N/A,N/A,,,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,N/A,Cross currency mark-up fee of 3.5% of the transaction amount applicable on transactions done in another currency,"N/A | USD 2 (or currency equivalent) on cash withdrawals from ATMs, 0.5% of the transaction amount on cash withdrawals from POS | N/A","goCash+ gift voucher worth Rs. 500. Goibibo vouchers worth Rs. 15,000. Complimentary card protection from OneAssist wallet assistance worth Rs. 1,600. Discount of Rs. 500 at Croma outlets (including online and airport outlets). Flat 15% discount on dining at Indian restaurants in 6 countries. Cab voucher worth Rs. 1,000 and a discount of Rs. 0.40 on forex rate on loading USD 1,000. Accepted at all international online stores accepting Visa credit/debit cards. Can be used for shopping at duty-free stores at airports.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/goibibo-icici-bank-forex-prepaid-card/
HDFC Bank Multicurrency Platinum ForexPlus Chip Card,HDFC Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹500 + GST,N/A,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The forex cards don’t come with very strict eligibility criteria like the credit cards. anyone who is traveling to different countries can get this card provided that he/she has all the valid travel documents. You just need to keep the following points in mind: The applicant doesn’t need to be an HDFC Bank customer. Non-customers can also get the card. Anyone above the age of 18 years can apply for this card.,N/A,"No mark-up fee on transactions made in the currency loaded on the card, a cross-currency mark-up fee of 2% of the transaction amount applicable on transactions made in a currency other than the one loaded on the card",N/A | USD 2 on ATM withdrawals | N/A,"Can be loaded in 22 different currencies including USD, Euro, and Dihram. Accepted at all online portals and retail stores that accept Visa credit/debit cards. Can be used for shopping at duty-free stores at international airports across India. Card issuance fee waived off on the first loading of a minimum of USD 1,000 (or its currency equivalent). Amazon voucher worth up to Rs. 1,500 on loading/reloading the card with USD 1,500 (or its currency equivalent) or more. Rs.0.20 cheaper exchange rate on loading/reloading the card via online channels. Emergency cash delivery assistance around the world in case of loss of card/card not working. 24×7 global concierge service for assistance regarding hotel reservations, car rentals, gift/flower delivery, medical services,, etc. Complimentary comprehensive insurance plan including insurance covers against air/rail/road accidents, loss of baggage/documents/cash, and misuse of card.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/hdfc-bank-multicurrency-platinum-forexplus-chip-card/
HDFC Bank Regalia ForexPlus Card,HDFC Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]","₹1,000 + GST",Nil,N/A,,N/A,N/A,,,"{""domestic"": ""One Free Visit Each Quarter at International Airports in India"", ""international"": ""N/A""}","Unlike credit cards, forex cards do not have very strict eligibility criteria. If you want to get this card, you should just keep the following points in mind: The cardholder should be an Indian resident traveling abroad. HDFC Bank customers and non-banking customers can apply for this card.",N/A,Nil,N/A | USD 4 | N/A,"Balance is loaded on the card in US Dollars and can be used in any currency without any forex charges. The card can be used for online transactions at all major e-commerce portals with authentication via OTP or prepaid card net-banking password. No ATM access charges when used at All Point Network ATMs (regular ATM withdrawal charges applicable). 1 complimentary lounge access per quarter at international airports in India. Complimentary access to select airport lounges in case of delay of the flight. Global assistance in the event of loss of the card/card not working. Emergency cash delivery assistance across the globe. Multiple complementary insurance covers, including insurance against counterfeiting/skimming, air/rail/road accident cover, loss/damage of check-in luggage, and loss of personal documents, etc. Support for the PayWave technology (contactless transactions).",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/hdfc-bank-regalia-forexplus-card/
ICICI Bank Coral Prepaid Forex Card,ICICI Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",₹499 + GST,Nil,N/A,,,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,N/A,"No mark-up fee applicable on transactions made in the currency loaded on the card, a cross-currency usage fee of 3.5% of the transaction amount levied on transactions made in a currency other than the one loaded on the card.","N/A | USD 2 (or currency equivalent) on cash withdrawals from ATMs, 0.5% of the transaction amount on cash withdrawals from POS | N/A","BookMyShow vouchers worth ₹500 each as a joining benefit. Complimentary OneAssist complete card protection. Comprehensive insurance plan with insurance covers against air accident, loss of card, delay of check-in baggage, and many other insurance benefits. It can be used to shop at duty-free stores at international airports across India. Free replacement card provided with the card in the welcome kit. Emergency travel assistance including emergency cash delivery and concierge service during international travel. Exciting discounts on travel, dining and shopping around the world.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/icici-bank-coral-prepaid-forex-card/
ICICI Bank Sapphiro Forex Prepaid Card,ICICI Bank,Forex Cards,,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]","₹2,999 + GST",Nil,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""2 Complimentary Access Every Year With DreamFolks""}",,N/A,Nil (no foreign currency mark-up fee and no-cross currency usage charges),"N/A | USD 2 (or currency equivalent) on cash withdrawals from ATMs, 0.5% of the transaction amount on cash withdrawals from POS | N/A","Uber vouchers worth Rs. 1,000 as a welcome gift. Complimentary DreamFolks membership with 2 international lounge access per annum. Complimentary OneAssist complete card protection cover. 5% cashback on online hotel/flight bookings (max cashback capped at Rs. 3,000 per month). Comprehensive travel insurance including a personal air accident cover worth Rs. 10 lakh and many other travel-related insurance covers. Free replacement card provided with the primary card in the welcome kit. The card can be used for shopping at duty-free stores at airports within India. Exciting deals around the world on stay, travel, dining and shopping. Discounts on international roaming packs. Complimentary lost card liability cover worth Rs. 5 lakh.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/icici-bank-sapphiro-forex-prepaid-card/
ICICI Bank Student Forex Prepaid Card,ICICI Bank,Forex Cards,,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Rs. 499 + GST,Rs. 499 + GST,NA,,,NA,,,"{""domestic"": ""NA"", ""international"": ""NA""}","Anyone travelling abroad (for study purposes) can get the Student Forex Card from ICICI bank as there are not so strict eligibility criteria to be fulfilled. But, you will have to submit certain documents while applying for this card, which is as follows: LRS declaration and form A2 plus an application form. PAN Card copy (self-attested). Original Passport of the applicant along with a self-attested photocopy. Original Aadhar Card of the applicant along with a self-attested photocopy. A Visa copy (self-attested) is also required).",,Cross currency markup fee of 3.5%,USD 2 (or equivalent value of other currencies) | Nil,"Get a complimentary ISIC membership as a welcome benefit. Get exciting deals and discounts on international travel-related spends. 40% discount on excess baggage and 20% discount on DHL courier services. Get card protection plus insurance cover worth Rs. 1,500. Get lost card liability cover worth up to Rs. 5 lakhs.",[],[],,cardinsider.com,https://cardinsider.com/forex-cards/icici-bank-student-forex-prepaid-card/
ICICI Bank Student Sapphiro Forex Prepaid Card,ICICI Bank,Forex Cards,,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]","₹2,999 + GST",Nil,N/A,,Cashback,N/A,,,"{""domestic"": ""N/A"", ""international"": ""2 International Lounge Visits""}",,N/A,N/A,N/A | N/A | N/A,"This is a prepaid Forex card designed for students. This card has zero markup charges for international transactions. Cardholders get free access to international lounges with this card. Monthly three ATM fee waivers on cash withdrawals for five years. Lost Card Liability coverage up to ₹5,00,000.",[],"["""", """"]",,cardinsider.com,https://cardinsider.com/forex-cards/icici-bank-student-sapphiro-forex-prepaid-card/
ICICI Corporate Sapphiro Forex Prepaid Card,ICICI Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]","₹2,999 + GST",Nil,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""2 Free Visits Each Year""}",,N/A,Zero,N/A | 3 Monthly ATM Fee Waiver | N/A,"The ICICI Corporate Sapphiro Forex Card is most suited for corporate employees who often travel abroad for business. This is the world’s first prepaid card powered by Visa Infinite. Cardholders shall be eligible for several Visa Infinite benefits, such as International Airport Meet & Greet and a free international SIM.","[""This card can be used securely for foreign payments.""]","[""There are no rewards for international spending.""]",,cardinsider.com,https://cardinsider.com/forex-cards/icici-corporate-sapphiro-forex-prepaid-card/
ICICI Expressions Sapphiro Forex Card,ICICI Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]","₹3,499 + GST",Nil,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""2 International Complimentary Airport Lounge Access""}",,N/A,Nil,N/A | US $2 (or currency equivalent) on cash withdrawals from ATMs | N/A,"The card has a joining fee of ₹3,499 + GST It provides two complementary international lounge access The card comes with Card Protection Plus insurance worth ₹1,600","[""Zero foreign currency markup fee."", ""Choose from 150 designs to personalize cards."", ""2 complimentary international airport lounge access.""]","[""No reward points or cashback offered."", ""Comes at a high joining fee of ₹4,128.82 (including taxes)."", ""A fee of $27 is charged for each lounge visit after the first two complimentary visits have been used.""]",,cardinsider.com,https://cardinsider.com/forex-cards/icici-expressions-sapphiro-forex-card/
IDFC FIRST Multi-Currency Forex Card,IDFC FIRST Bank,Forex Cards,Visa,"[""20+ Best Forex Cards in India 2026"", ""Forex Cards""]",Nil,Nil,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",All IDFC FIRST Bank Savings account customers who are planning to travel abroad can apply for a Forex Card.,N/A,N/A,N/A | N/A | N/A,There are no joining fees for this Forex card. You can load currencies of 140 different countries with this IDFC Forex card.,[],[],,cardinsider.com,https://cardinsider.com/forex-cards/idfc-first-multi-currency-forex-card/
